Order,Name,Latitude,Longitude,Tags,Google Maps link,Description
11,Tulshibaug Ganpati (Manacha Chautha Ganpati),18.5134369,73.8555749,"Temple, Manache Ganpati",https://www.google.com/maps/search/?api=1&query=Tulshibaug%20Ganpati%20Temple%2C%20Tulshibaug%2C%20Budhwar%20Peth%2C%20Pune,"Established in 1901 within Pune's bustling 18th-century Tulshibaug market — itself founded around 1761 by Peshwa army commander Naro Appaji Khire — this shrine is honoured as the fourth of the city's Manache Ganpati. The surrounding neighbourhood takes its name from the tulsi (holy basil) plants grown here in large numbers during the devastating 1896 plague, when the herb was prized for its ayurvedic medicinal value. The mandal and the market around it remain one of the most crowded, vibrant corners of old Pune."
12,Tulshibaug Ram Mandir,18.513729,73.8554969,"Temple, Ancient Architecture",https://maps.app.goo.gl/9fWSumoosdQfiAuz7,"The Ram Mandir stands within Tulshibaug, the historic temple-and-market complex that Peshwa-era noble Naro Appaji Khire — popularly remembered as Tulshibaugwale — began building in Budhwar Peth in 1761, in the demoralised aftermath of the Marathas' defeat at Panipat. The inner stone sanctum, enshrining Ram, Sita and Lakshman, was consecrated by 1765, while the surrounding teak-pillared congregation hall and courtyard shrines were added over the following decades, with the complex as a whole not finished until 1795 at a cost of roughly Rs 1,36,667 — an immense sum for the period. Its soaring shikhara, once reputed to be the tallest in Maharashtra at 22.2 metres, was a later addition, raised in 1884 by craftsman Nandram Naik. Distinct from the separately renowned Tulshibaug Ganpati temple sharing the same courtyard, the Ram Mandir remains the complex's spiritual anchor and the site of the city's grandest Ram Navami celebrations."
13,Shaniwar Wada,18.5193826,73.8553566,"Historical Site, Ancient Architecture",https://www.google.com/maps/search/?api=1&query=Shaniwar%20Wada%2C%20Shaniwar%20Peth%2C%20Pune,"Shaniwar Wada was built in 1732 by Peshwa Bajirao I as the fortified palace and administrative seat of the Peshwas, the prime ministers who effectively ruled the Maratha Empire from Pune for nearly a century. Materials were drawn from across Maratha territory — teak from Junnar, stone from Chinchwad, lime from Jejuri — reflecting the empire's reach. Once a sprawling complex of courtyards, fountains, and audience halls, most of its wooden structures were destroyed in an unexplained fire in 1828. Today its massive stone walls and grand gateways survive as one of Pune's most iconic heritage sites."
14,Guruji Talim Ganpati Mandal (Manacha Tisra Ganpati),18.5150471,73.8546601,"Temple, Manache Ganpati",https://www.google.com/maps/search/?api=1&query=Guruji%20Talim%20Mandal%2C%20Budhwar%20Peth%2C%20Pune,"Founded in 1887 by two families — one Hindu (Bhiku Shinde) and one Muslim (Ustad Nalband) — beside a traditional wrestling gymnasium, or 'talim', in Budhwar Peth, this mandal is Pune's earliest recorded example of interfaith cooperation in public Ganesh worship. It predates Lokmanya Tilak's 1893 Sarvajanik Ganeshotsav by six years, and is honoured today as the Manacha Tisra Ganpati (third of the five ceremonially ranked mandals), a lasting symbol of Hindu-Muslim unity in the city's civic life."
15,Raja Dinkar Kelkar Museum,18.5107,73.8544,Museum,https://maps.app.goo.gl/LFF9fkQuNfJfqEWt9,"The Raja Dinkar Kelkar Museum grew out of the lifelong obsession of one man: Dr. Dinkar G. Kelkar (1896-1990), who began collecting Indian decorative and everyday objects around 1920 and kept at it for over sixty years, travelling the length of the country to acquire photographs, carvings, textiles, musical instruments, toys, puppets, manuscripts, weaponry and household fixtures wherever he found them. He opened the collection to the public as a museum in 1962, naming it in memory of his only son Raja, who died in childhood, and by 1984 the holdings had grown to roughly 15,000 objects. In 1992, Kelkar donated the entire collection to the Government of Maharashtra, which continues to run the museum today. Housed in a three-storey building built in a traditional Rajasthani style — complete with carved wooden jharokha balconies and courtyards, and incorporating the elaborately carved Mastani Mahal doorway — the museum now holds more than 20,000 objects, of which around 2,500 are on permanent display, spanning sculpture dating to the 14th century and decorative arts of the 18th and 19th centuries."
16,Vishrambaug Wada,18.5138486,73.8534275,"Historical Site, Ancient Architecture",https://www.google.com/maps/search/?api=1&query=Vishrambaug%20Wada%2C%20Thorale%20Bajirao%20Road%2C%20Pune,"Vishrambaug Wada was built between 1805 and 1811 as the personal residence of Bajirao II, the last of the Peshwas, at a cost of around two lakh rupees. Unlike Shaniwar Wada's fortress-like administrative role, this wada was conceived as a leisure mansion — its very name means 'garden of rest' — where the Peshwa lived for roughly a decade before the British ended Peshwa rule in 1818. Afterwards it passed through use as a courthouse, a school, and municipal offices, and today it houses a post office, a handicrafts outlet, and a small museum on Pune's history."
17,Kesariwada Ganpati (Manacha Pachwa Ganpati),18.5155793,73.8510765,"Temple, Manache Ganpati, Ancient Architecture",https://www.google.com/maps/search/?api=1&query=Kesari%20Wada%2C%20Narayan%20Peth%2C%20Pune,"The fifth and final of Pune's Manache Ganpati, this Ganesh was first installed in 1894 by Lokmanya Bal Gangadhar Tilak's Kesari Trust at the Tilak family's Vinchurkar Wada residence, before shifting in 1905 to Gaikwad Wada — the building that became known as Kesari Wada, named after Kesari, the influential Marathi newspaper Tilak founded to fuel India's freedom movement. Located in Narayan Peth near S. P. College, the wada is a PMC Heritage Grade I site and today also houses the Lokmanya Tilak Museum."
18,Khunya Murlidhar Temple,18.5115855,73.8505554,"Temple, Ancient Architecture",https://maps.app.goo.gl/KWi37MvbRxmqYxZbA,"The Khunya Murlidhar temple was built on 6 May 1797 by Sadashiv Raghunath ""Dada"" Gadre, a wealthy sawkar (banker-moneylender) to the Peshwa court, who commissioned it in Sadashiv Peth after Krishna reportedly appeared to him in a dream and ordered a temple built in his honour. Gadre spared no expense: the Radha-Murlidhar idols, along with attendant figures of cows, calves, and Garuda, were carved in fine white marble by Bakhatram, a celebrated sculptor brought from Jaipur. The finished statues — Krishna barely two feet tall, Radha slightly shorter — were considered among the most exquisite in Peshwa-era Pune, a reputation that would soon entangle the temple in a violent dispute over ownership of the idol itself."
19,Jangli Maharaj Temple,18.5263767,73.8499965,Temple,https://www.google.com/maps/search/?api=1&query=Sadguru%20Shri%20Jangli%20Maharaj%20Samadhi%20Temple%2C%20Revenue%20Colony%2C%20Pune,"This samadhi temple honours Jangli Maharaj, a wandering ascetic saint who lived in the Bhamburde jungles of what is now Shivajinagar in the late 19th century, and who is remembered as a disciple in the spiritual lineage of Swami Samarth of Akkalkot. After his death in 1890, devotees built this memorial shrine over his samadhi. The temple gave its name to the busy road it stands on — JM Road — one of central Pune's main commercial and cultural arteries, so the saint's memory now anchors one of the city's most walked stretches."
20,Pataleshwar Caves,18.5269463,73.8498456,"Temple, Ancient Architecture",https://www.google.com/maps/search/?api=1&query=Pataleshwar%20Cave%20Temple%2C%20Jangli%20Maharaj%20Road%2C%20Pune,"Tucked just off the same JM Road that takes its name from the neighbouring Jangli Maharaj Temple, this rock-cut Shiva shrine is Pune's oldest surviving monument, carved directly out of a single basalt outcrop during the Rashtrakuta period around the 8th century CE. It belongs to the same tradition of monolithic excavation as the far larger Ellora and Elephanta caves, though on a much smaller scale, and the work here was left unfinished — historians believe patronage dried up as Rashtrakuta power declined, leaving the temple frozen mid-carving for over 1,200 years."
21,"Omkareshwar Temple, Shaniwar Peth",18.5199541,73.8491103,"Temple, Ancient Architecture",https://maps.app.goo.gl/BW2c7fzr4LyrpWj38,"The Omkareshwar Temple was built between 1736 and 1738 by Shivrambhat Chitrav, a scholar-engineer who served as spiritual guru to the Peshwa court — among his disciples were Chimaji Appa, brother of Peshwa Bajirao I, and Nanasaheb Peshwe, whose patronage helped fund the temple. Raised on the banks of the Mutha river in Shaniwar Peth in a Hemadpanti-Nagara style, it is crowned by a five-tiered soapstone shikhara carved with mythological figures, and its courtyard holds a large Nandi pavilion alongside subsidiary shrines to Maruti, Shani and Bhavani Mata. For centuries Pune's principal riverside cremation ground until the practice moved elsewhere in 1971, the ghat below the temple was also a gathering place for early twentieth-century nationalists, including Lokmanya Tilak and a young Vinayak Savarkar. Now a PMC Heritage Grade I structure and among the largest temples in the city, it survived the catastrophic Panshet dam-failure flood of 1961 largely intact."
22,Lokmanya Tilak Museum,18.5158281,73.8489139,"Museum, Historical Site",https://maps.app.goo.gl/mVKy8J5vM55fEcN66,"On the second floor of Kesari Wada in Narayan Peth — the mansion Bal Gangadhar Tilak acquired from Sayajirao Gaikwad III in 1905 and from which he ran his influential Marathi newspaper Kesari — sits a museum dedicated specifically to Tilak's life and papers, distinct from the wada's better-known role as home to the Kesariwada Ganpati mandal. Inaugurated in January 1999 by Sonia Gandhi and jointly managed by the Kesari Maratha Trust and the Tilak family, the museum was built around materials Tilak's descendants and the Trust had preserved for decades: the original printing press on which early issues of Kesari were run, his genealogical table and horoscope, a photograph of his birthplace at Gorewada village near Chikhli in Ratnagiri district, his Sanskrit writings, and a copy of Gita Rahasya, the philosophical commentary he composed while imprisoned by the British at Mandalay jail in Burma between 1908 and 1914 on charges of sedition. A recreated study, built by artist Suhas Bahulkar to reproduce Tilak's desk, bed and wall clock, sits alongside a life-size tableau of his Mandalay cell showing him at work on the manuscript."
23,Mahatma Phule Museum,18.5237,73.8456,Museum,https://maps.app.goo.gl/x3Na1QZ9TEzMQwoM7,"Pune's oldest museum began life in 1890 as the Poona Industrial Museum, set up under British colonial administration to showcase the region's industry, natural resources and craft. It was subsequently renamed the Lord Reay Museum, after a former Governor of Bombay, before the Maharashtra government renamed it once more in 1968 to honour Jyotirao Phule, the pioneering nineteenth-century social reformer who fought caste discrimination and championed women's education in the same city. The museum, in Shivaji Nagar about four kilometres from Pune Junction, is organised into galleries on forestry, agriculture, natural history, geology, engineering, armaments, handicrafts and architecture, and includes a taxidermy collection of animals, birds, insects, snakes and fish, plus an armoury of Mughal- and Maratha-period weapons alongside charts detailing the forts of Pune district. It has maintained a library since its founding, stocked with books on museology and historic technology, and since 1928 has published Srishtidnyan, reckoned the first popular-science monthly in Marathi. B.V. Gharpure, curator from 1930 to 1954, has a hall named for him within the museum."
24,Aga Khan Palace,18.5523293,73.9014785,"Historical Site, Ancient Architecture",https://www.google.com/maps/search/?api=1&query=Aga%20Khan%20Palace%2C%20Nagar%20Road%2C%20Yerwada%2C%20Pune,"Built in 1892 by Sultan Muhammed Shah, Aga Khan III, this palace on Nagar Road was itself an act of charity: famine had left many in the surrounding villages without work, and construction of the 19-acre estate gave them employment for years. Its later history is far graver — after Mahatma Gandhi launched the Quit India Movement in August 1942, the British held him, Kasturba Gandhi, his secretary Mahadev Desai and others in detention here for nearly two years. Both Mahadev Desai and Kasturba Gandhi died within its walls, and in 1969 the Aga Khan family gifted the palace to the Gandhi Smarak Samiti in his memory."
25,Mahadji Shinde Chhatri,18.491631,73.89727,"Historical Site, Ancient Architecture",https://www.google.com/maps/search/?api=1&query=Shinde%20Chhatri%2C%20Wanowrie%2C%20Pune,"This three-storeyed memorial in Wanowrie marks the cremation spot of Mahadji Shinde, the formidable Maratha commander-in-chief who, after the crushing defeat at Panipat in 1761, rebuilt Maratha power across northern India and founded the Scindia dynasty of Gwalior. He died in Pune on 12 February 1794, and the chhatri (cenotaph) built over his samadhi stands beside a Shiva temple he himself had commissioned here in 1794, blending Rajasthani and Maratha architectural styles in tribute to a general whose reach extended from the Deccan to Delhi."
26,National War Memorial Southern Command,18.5231,73.8897,Museum,https://maps.app.goo.gl/yFdawANnCdLh6J5s7,"The National War Memorial Southern Command, in Pune Cantonment's Ghorpadi area, is dedicated to India's post-independence war dead and holds a distinction rare among Indian war memorials: it was raised entirely through citizens' contributions rather than government funding. The initiative began in 1996, during the silver jubilee commemorations of the 1971 Indo-Pakistani War, led by a citizens' committee chaired by Brigadier N.M. Grant (Retd.), and the completed memorial was dedicated to the nation on 15 August 1998. Its centrepiece is an 18-metre granite tower, ringed by marble panels inscribed with the names of 2,847 soldiers killed in India's wars and operations since 1947. A 2008 renovation, funded with Rs. 32 lakh from the Pune Cantonment Board, added a compound wall, entrance gate, landscaped pathways and a Vijayanta tank along with stone-engraved galleries recounting major battles; a further 2009 addition brought in a model of the frigate INS Trishul and a MiG-23BN fighter jet flown during the Kargil War, giving the site a tri-services character. The adjoining Southern Command Museum, opened in 2013, expands on this with uniforms, ammunition, vehicles and guns tracing the Southern Command's operational history."
27,"ISKCON NVCC Temple, Pune",18.4479105,73.8807138,"Temple, Modern Architecture",https://maps.app.goo.gl/Ckr6Bum3x9FVkhTi9,"ISKCON's presence in Pune began modestly in 1984 with a small city-centre centre; as the congregation outgrew it, HH Gopal Krishna Goswami Maharaj acquired a six-acre plot on the Katraj-Kondhwa road in 1995, and construction of what became the New Vedic Cultural Center (NVCC) proceeded under the spiritual direction of HH Radhanath Swami. Seven years in the building and funded substantially through devotee donations — including a ""Mark Your Square Feet"" campaign pricing contributions at Rs. 2,000 per square foot — the roughly Rs. 40 crore complex was formally inaugurated in 2013 by then-President of India Pranab Mukherjee on the auspicious occasion of Nityananda Trayodashi, and is today reckoned the largest temple in Pune. Architects Sachin Boradia and HG Sundarvar Das drew on the historic temple traditions of Jagannath Puri and Tirupati for its design."
28,Darshan Museum,18.5240953,73.8764697,Museum,https://maps.app.goo.gl/hzoYjRRbD5nestoX9,"Housed on the first floor of the Sadhu Vaswani Mission's building near Pune railway station, the Darshan Museum is a biographical museum dedicated to Sadhu T.L. Vaswani (1879-1966), the Sindhi educationist, spiritual teacher and founder of the Mira Movement in Education, who established St Mira's School in Hyderabad, Sindh, before relocating to Pune after Partition in 1949 and founding the Mission that bears his name. The museum opened on 1 August 2011, inaugurated by actor Aamir Khan in the presence of Dada J.P. Vaswani, Sadhu Vaswani's successor as head of the Mission. Spread across more than 10,000 square feet and divided into eight themed zones, it narrates Vaswani's life and teachings using an unusually elaborate mix of presentation technology for a museum of its kind — carefully staged wax-figure tableaux, films and what is reputed to be India's largest holographic installation — guided by ushers who walk small groups through each zone in sequence. Reviewed by the Times of India as being of 'Hollywood quality' and reportedly ranked among Asia's top 25 museums, it draws visitors from beyond the Sindhi and Mission communities specifically for its production values."
29,Maratha History Museum,18.5487081,73.8724107,"Museum, Historical Site",https://maps.app.goo.gl/yuv2uhivRme7uppP7,"The Maratha History Museum, part of the Deccan College Post-Graduate and Research Institute on Deccan College Road in Yerawada, traces its origins to the private collection of Rao Bahadur D.B. Parasnis of Satara, a historian who spent decades gathering original manuscripts, weapons, coins and documents relating to Maratha history from across Maharashtra and beyond. Parasnis's personal museum, opened at Satara in 1925, was later purchased by the Government of Bombay and renamed the Satara Historical Museum; when Deccan College was reconstituted as a postgraduate research institute in August 1939, its entire holdings of historical documents and antiquities were transferred to Pune, forming the founding collection of what became the Maratha History Museum. The collection grew further in 1958, when the ruler of the former princely state of Jamkhindi donated his own private historical collection to the institute. Today the museum holds over 200 original manuscripts in Marathi, Sanskrit, Persian, Arabic and English, alongside roughly 120 bundles of old cloth-wrapped Marathi documents, copper-plate land grants, microfilms and paintings."
30,Shree Devdeveshwar Temple (Parvati Temple),18.4976,73.8472,"Temple, Ancient Architecture",https://maps.app.goo.gl/rtY8mD3zo3bjbudM8,"The Devdeveshwar temple, crowning Parvati Hill south of the old city, was built in 1749 by Peshwa Balaji Bajirao (Nanasaheb) after his mother Kashibai, cured of a severe foot ailment she had prayed over on this hill, extracted a vow from her son to raise a grand temple on the spot in gratitude. Nanasaheb dedicated the main shrine to Shiva in the Shiv Panchayatan arrangement — a central sanctum encircled by four subsidiary temples, here to Surya, Ganesha, Vishnu and Bhavani, set at the cardinal points — and his brother Raghunath Rao later added separate temples to Kartikeya Swami and Vishnu Narayan on the same hilltop. The hill itself had older associations, having held smaller shrines even in Shivaji Maharaj's time, but it was the Peshwa-era building programme that turned Parvati into the devotional and architectural complex visible today, regarded as one of the finest surviving examples of peak Peshwa temple architecture. The hilltop also holds Nanasaheb Peshwa's samadhi and a museum of Peshwa-era artefacts, reached by a climb of 103 stone steps from the base."
31,Blades of Glory Cricket Museum,18.4859379,73.8434206,Museum,https://maps.app.goo.gl/pa3mDhB15YWS2bQF8,"Blades of Glory was founded in 2012 by Rohan Pate, a former Indian under-19 cricketer who turned a private collecting habit into what is billed as the largest cricket museum in the world, inaugurated by Sachin Tendulkar himself in September 2012. The museum now holds more than 75,000 pieces of cricket memorabilia gathered from players across the cricketing world, many personally autographed, spanning everything from a 1720s-era bat at the entrance display tracing the evolution of cricket bat design through to the present day, to items tied to some of the sport's defining modern moments. Four smaller rooms are each devoted to record-breaking individual cricketers, while a larger hall houses equipment and highlights from India's World Cup victories. Pate has continued expanding the collection and has spoken publicly of plans to open a second branch in Chennai, extending a project that began as one enthusiast's private memorabilia hoard into a genuine pilgrimage site for cricket fans visiting Pune."
32,Erandwane Fire Museum,18.5066168,73.8329764,Museum,https://maps.app.goo.gl/AhugGwiaJH62ESra6,"Officially the Late Keshavrao Narayanrao Jagtap Fire Brigade Museum, the two-storey museum inside the Erandwane fire station is reckoned India's first museum dedicated entirely to firefighting. The idea took root when L.N. Raut, then Chief Fire Officer of Pune, visited London's Fire Brigade Museum during a training programme abroad and returned wanting a similar institution for the city; the project was first proposed around 2001 but stalled for want of funding until Maharashtra Navnirman Sena corporator Anila Rane contributed Rs 1.40 crore toward its construction, allowing the museum to finally open in 2016. Run by the Pune Municipal Corporation, it displays more than a hundred pieces of firefighting equipment spanning from the 1930s to the present day, gathered partly from fire departments across India, alongside vehicles and photographs documenting some of the country's major fire and flood rescue operations."
33,Dr Babasaheb Ambedkar Museum & Memorial,18.52425,73.8299521,"Museum, Historical Site",https://maps.app.goo.gl/PYfK8ap5BZtc219BA,"The Dr Babasaheb Ambedkar Museum & Memorial on Senapati Bapat Road was conceived by Dr S.B. Mujumdar, founder-director of the Symbiosis Society, who secured two acres of then-barren hilly land from the Government of Maharashtra to build it. Sharad Pawar laid the foundation stone on 14 April 1990, Ambedkar's birth centenary, and the completed memorial — built for roughly Rs 60 lakh to a design by architect Dhananjay Datar modelled on the form of a Buddhist stupa, in keeping with Ambedkar's 1956 conversion to Buddhism — was inaugurated on 26 November 1996 by then Vice President K.R. Narayanan. The date was deliberately chosen: it was on 26 November 1949 that Ambedkar, as chairman of the Constitution's Drafting Committee, formally presented independent India's Constitution to the Constituent Assembly. Symbiosis Society continues to fund and manage the memorial, its garden and its library. Most of the museum's core collection — Ambedkar's Bharat Ratna citation, the urn once believed to have held his ashes, and an array of his personal effects — was donated by his wife, Dr Savita (Maisaheb) Ambedkar."
34,Museum of Cartoon Art,18.5535228,73.8247079,Museum,https://maps.app.goo.gl/sx756fpDi5xqFdPQ9,"Housed within the Department of Media and Communication Studies in the Main Building of Savitribai Phule Pune University, the Museum of Cartoon Art was inaugurated on 12 March 2022 by veteran cartoonist Suraj 'Eskay' Sriram, who served as the project's director, in a ceremony attended by Vice-Chancellor Prof Nitin Karmalkar, Pro-Vice-Chancellor Prof N.S. Umrani and Registrar Prof Prafulla Pawar. Billed as India's first museum devoted specifically to cartoon art, its collection traces nearly two and a half centuries of political and social cartooning, from caricature and satire produced during the East India Company period through to contemporary Indian cartoonists' commentary on the socio-political developments of recent decades. Curated by Dr Priya Gohad, a senior faculty member and heritage-management specialist, the museum was conceived not purely as a display space but as a teaching resource: alongside original paintings and cartoons by noted Indian cartoonists, its gallery holds a research library of books on the history and craft of cartoon art, intended for students in the university's media programmes and for aspiring cartoonists given a platform to exhibit their own work."
35,"BAPS Shri Swaminarayan Mandir, Narhe",18.4603175,73.8241701,"Temple, Modern Architecture",https://maps.app.goo.gl/yUzPL9CsP6mBYRvSA,"The BAPS Shri Swaminarayan Mandir on the Mumbai-Bengaluru highway at Narhe was consecrated on 19 February 2017 by Guruhari Mahant Swami Maharaj, successor to Pramukh Swami Maharaj (1921-2016), under whose guidance the project was conceived. Built by the Bochasanwasi Akshar Purushottam Swaminarayan Sanstha (BAPS), the mandir was raised in just 24 months entirely from hand-carved pink sandstone and red Rajasthani stone, without a single beam of structural steel — the load-bearing stonework locks together like a giant three-dimensional jigsaw puzzle in the tradition of classical Nagara-style temple building. Spanning roughly 184 by 181 feet and rising nearly 75 feet, it sits within a landscaped complex that also houses a cultural exhibition and vegetarian dining hall serving the growing Gujarati and Swaminarayan community of western Pune."
36,Joshi's Museum Of Miniature Railways,18.5016,73.8223,Museum,https://maps.app.goo.gl/XpJRudSKQHp1GGox9,"Joshi's Museum of Miniature Railways traces back to a childhood hobby that its founder, B.S. ""Bhausaheb"" Joshi, turned into a lifelong project starting in the 1960s. He first exhibited his working model-train layouts publicly at Gokhale Hall in Pune in 1982, took the show to Mumbai in 1984 and back to Pune's Dastur High School in 1986, before deciding that hauling a mobile layout city to city was too costly and labour-intensive to sustain. He built the museum's present layout in 1991, inside a dedicated hall at Soudamini Instruments, the precision-instruments factory he had founded in 1962 in Erandwane, and opened it to the public on 1 April 1998 — the first miniature railway museum in India. It earned a Limca Book of Records mention in 2004 as the country's only museum devoted to scale models of locomotives and railway systems from around the world, and in 2003 its team built India's first digitally controlled scale model train system. Joshi died shortly after the museum's public opening; his son, Dr. Ravi Joshi, has run it since."
